SerialNumber,Shana,Machoz,Ms_Nefashot,Minn,Gil,MatzavMishp,Pop_Group,DatSafa_C,HesderDiyur,ShnotLimudKlali_C,MatzavTaasuka_C,HachnasaKolelet,HachnasaAvoda,SemelMishlach_wp,OverVashav,OverVaMaakav,OverVaI1,OverVaI2,OverVaI3,OverVaI4,OverVaI5,OverVaI6,OverVaI7,OverVaAcher,OverVaEruim1,OverVaEruim2,OverVaEruim3,HeshbonMaakav,KartisAshKama,KartisAshP1,KartisAshP2,KartisAshP3,KartisAshP4,KartisAshS1,KartisAshS2,KartisAshS3,KartisAshS4,KartisAshS5,KartisAshS6,KartisAshS7,KartisAshNechsam,Mashkanta1,MashkantaMekorot,Halvaa,Halvaa2,Halvaa3,Halvaa4,Halvaa5,Halvaa6,Halvaa7,Halvaa8,Halvaa9,Halvaa10,Hovot,Hovot2,Hovot3,Hovot4,Hovot5,Hovot6,Hovot7,Hovot8,Hovot9,HovotLechatzim,Hashkaot1,Hashkaot2,Hashkaot3,Hashkaot4,Hashkaot5,Hashkaot6,Hashkaot7,Hashkaot8,Hashkaot9,Hashkaot10,HashkaotMaclit,Bituhim1,Bituhim2,Bituhim3,Bituhim4,Bituhim5,Bituhim6,SherutY1,SherutY2,SherutY3,SherutY4,SherutY5,SherutY6,NosCas1,NosCas2,NosCas3,NosCas4,HishuvRibit,HishuvRibitDribit,ShiurRibitBank,HipusM1,HipusM2,HipusM3,HipusM4,HipusM5,HipusM6,HipusM7,HipusM8,HipusM9,NoseCaspiM1,NoseCaspiM2,NoseCaspiM3,NoseCaspiM4,NoseCaspiM5,NoseCaspiM6,NoseCaspiM7,NoseCaspiM8,NoseCaspiM9,NoseCaspiM10,NoseCaspiHarhavaNihul,NoseCaspiHarhavaCarhanut,NoseCaspiHarhavaHalvaot,NoseCaspiHarhavaHishonot,NoseCaspiHarhavaBituhim,NoseCaspiHarhavaMashkanta,NoseCaspiHarhavaEynCoreh,MekorotM1,MekorotM2,MekorotM3,MekorotM4,MekorotM5,MekorotM6,MekorotM7,MekorotM8,MekorotM9,MekorotM10,MakorMuadaf,MakorMahooM,RamatYedaMash,nn
933,2012,7,5,1,4,2,1,3,2,1,2,2,,10,2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,,2,,,,,,,1,1,שוק אפור,2,,5,5,5,5,5,,,1,2,2,2,2,2,2,2,2,2,,,4,4,4,,4,,2,2,2,2,2,2,1,1,1,1,1020,1,1,1,1,1,1,1,1,1,2,,5,1,5,4,1,5,5,5,5,5,1,0,0,0,0,0,0,2,2,1,2,2,2,1,2,2,,1,7,5,5049.868556
934,2012,7,7,2,3,1,1,3,1,5,1,7,3,4,1,2,2,2,2,1,2,2,,2,5,1,1,1,2,2,1,3,2,1,2,1,1,1,2,,2,1,1,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,2,2,2,1,2,3,2,2,2,,,2,1,2,1,1,1,2,2,2,2,2,2,,3,3,3,1200,1,1,1,1,1,1,1,1,1,2,,1,1,1,3,2,,3,1,4,4,1,1,1,1,1,1,0,1,2,2,2,1,1,1,2,3,,2,,5,3275.093821
935,2012,7,5,1,2,5,1,3,1,4,1,10,5,4,1,2,1,1,2,1,1,,,3,1,1,1,3,2,2,1,2,2,1,2,1,2,1,,,2,2,,1,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,,,1,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,,5,4,4,3,3,1,1,1,1,,,1,4,1,4,1,2,3,3,3,5,1,1,0,1,1,1,0,1,2,1,1,1,1,1,2,,,1,6,5,3594.1
936,2012,7,4,1,1,5,1,3,1,4,1,8,6,6,1,2,1,1,2,2,1,1,מהפלאפון (אפליקציה),2,3,1,1,3,2,2,3,2,2,1,1,1,2,1,,,2,2,,2,2,2,2,2,2,2,1,,,,,,,,,,,,,1,2,2,1,2,2,2,2,,,1,4,4,4,1,4,2,2,1,2,2,1,2,2,3,3,1,,2,3,1,1,1,1,1,1,1,,,1,5,2,4,1,1,4,3,4,5,1,0,1,1,0,1,0,2,1,1,2,2,3,1,3,,,2,,5,2936.709488
937,2012,7,5,2,7,3,1,3,1,4,3,4,,10,1,4,1,2,2,1,2,,,2,5,1,1,1,2,1,2,2,2,1,2,2,2,2,,,2,1,1,2,1,2,2,2,2,2,1,,,2,1,1,3,3,1,4,,,1,2,2,2,2,2,1,2,2,,,1,1,2,2,2,1,1,2,2,2,2,3,2,3,3,3,3,,5,4,1,1,1,1,1,1,1,,,2,1,3,4,2,3,4,5,1,5,0,1,0,0,0,0,0,3,3,3,3,3,3,3,3,,,,,5,6525.033958
938,2012,7,7,2,4,1,1,3,1,5,1,5,5,1,1,2,1,,1,1,,,,1,1,1,1,2,2,3,1,2,2,2,2,1,2,2,,,2,1,1,2,1,,,,,,1,,,1,,,,,,,,,,,1,1,1,,1,,2,,,2,,,,,,,,,,,,,3,3,3,3,,5,4,1,1,1,1,1,1,1,,,1,2,1,3,2,2,3,3,3,1,0,0,0,1,0,0,0,2,2,1,2,2,2,1,2,,,1,3,5,3874.563368
939,2012,1,2,2,11,1,1,3,1,6,3,10,,10,1,3,,1,,,,,,2,1,1,1,1,5,2,1,1,2,1,1,,1,1,,,2,2,,2,1,,,,,,,,,1,,,,,,,,,,1,2,2,2,2,2,1,1,,,1,1,1,1,1,2,2,2,2,1,,2,1,3,1,1,1,1020,3,4,4,1,1,1,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,4785.770318
940,2012,1,7,1,7,1,1,3,1,6,3,8,,10,1,3,2,2,1,1,2,,,2,5,3,2,1,3,2,1,2,2,3,2,2,1,1,,,1,2,,2,2,2,2,2,2,2,1,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,,5,1,1,1,1,1,1,1,1,,,2,2,1,2,1,1,2,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,5904.714204
941,2012,2,4,2,8,3,1,3,1,4,1,6,5,4,1,2,,1,1,,,,,1,1,1,1,1,1,,,,,,,,,,,,,2,,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,1,1,2,2,2,2,,,1,1,2,2,2,2,2,2,2,2,2,2,2,3,1,1,3,,1,3,1,1,1,1,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,4182.36415
942,2012,2,4,2,8,1,1,3,1,6,1,9,8,0,1,1,,,,,,,,1,3,2,2,2,2,2,1,2,2,1,3,1,1,3,,,1,2,,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,1,1,3,2,2,2,,,2,1,2,2,1,2,2,2,2,2,1,1,1,3,1,1,1,1020,5,4,1,1,1,1,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,4159.93281
943,2012,2,3,2,4,1,1,3,1,6,1,5,2,1,1,3,,1,,,,,,1,5,2,1,1,3,2,1,2,2,2,1,1,2,1,,,2,1,1,2,1,2,2,2,1,2,2,,,1,,,,,,,,,,1,1,1,1,3,3,3,2,,,5,1,1,2,1,1,1,2,2,2,2,2,2,3,3,3,3,1020,5,4,2,3,3,3,1,1,1,,,2,2,1,1,5,5,5,5,2,5,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,,,,,3682.213029
944,2012,2,2,1,2,1,2,3,1,5,1,5,6,4,1,3,1,1,1,2,1,,,1,1,4,2,1,1,,,,,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,,,,,1,1,3,1,3,3,3,2,,,3,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,,5,4,3,5,3,5,2,1,1,,,3,1,3,4,3,3,4,1,2,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,3989.828088
945,2012,2,4,1,3,1,2,1,1,4,1,5,99,6,1,4,2,1,2,2,1,,,2,1,1,1,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,,3,4,1,1,1,1,1,1,1,2,,1,3,1,3,1,2,2,3,4,2,0,1,0,0,0,0,0,1,1,1,2,2,2,2,2,2,,2,,,3013.672096
946,2012,3,4,2,7,1,1,3,1,6,1,10,8,0,1,3,,1,,,,,,2,1,1,1,1,2,,1,,,1,,,,,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,,1,,,,,,,1,1,1,1,1,,,2,1,2,2,2,2,,1,1,2,1200,1,4,3,3,2,1,1,1,1,,,2,4,1,4,3,2,4,5,4,4,0,1,0,1,0,0,0,1,1,1,2,1,2,2,2,,,1,5,,4208.873196
947,2012,3,1,2,11,3,1,3,2,5,3,2,,10,1,4,1,,,1,1,,,,1,1,1,1,3,,1,,,1,1,,,,,,2,2,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,2,2,2,2,2,2,3,2,1,1,1020,5,4,1,5,1,1,1,1,1,,,1,4,2,4,2,3,4,4,4,4,0,1,0,0,0,0,0,2,1,2,2,2,2,2,2,1,,1,2,,6412.205649
948,2012,3,3,2,6,1,1,3,1,6,1,8,6,3,,,,,,,,,,,,,,1,4,2,1,1,1,1,1,1,1,1,,,2,1,1,2,1,1,2,1,2,2,2,,,2,1,1,4,3,1,1,,,,1,1,1,1,1,1,3,2,,,1,1,2,2,1,2,1,2,2,2,2,2,2,,,,,,,,1,1,1,1,1,1,1,,,2,3,3,4,3,2,3,3,2,,1,0,0,1,0,0,0,3,,,,,,,,,,,,,4347.643262
949,2012,3,1,2,10,4,1,3,1,5,3,5,,10,1,2,1,1,,1,,,,2,1,,,1,3,,1,,,,1,,,,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,1,1,1,,,2,2,2,2,2,2,3,1,3,3,,5,1,2,2,2,1,1,1,1,,,2,5,2,4,2,2,4,5,4,5,0,1,0,0,1,0,0,,,,,,,1,,,,1,7,,8295.056917
950,2012,3,4,1,8,1,1,3,1,4,1,8,8,3,1,2,,1,,,,,,1,2,1,1,4,4,2,1,3,2,1,1,1,1,1,,,2,2,,2,1,2,2,2,1,2,2,,,1,,,,,,,,,,1,1,1,1,2,2,2,2,,,1,1,2,2,1,2,1,2,2,2,2,2,2,3,1,3,3,1020,5,4,1,2,,1,1,1,1,,,1,2,1,4,2,2,3,3,2,2,1,0,0,0,0,0,0,1,1,2,1,2,2,1,2,,,1,1,,4298.209055
951,2012,3,2,1,10,1,1,3,1,5,3,3,,10,1,2,2,1,1,1,1,,,2,1,1,1,1,3,,1,,,2,2,2,2,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,1,2,2,2,2,,,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1020,2,2,1,5,1,1,1,1,1,1,,1,4,1,3,2,2,3,4,3,4,0,0,0,1,1,0,0,,,,,,,,,,,,,,7037.912594
952,2012,4,6,2,4,1,2,1,1,5,1,7,4,1,1,3,1,2,2,1,1,,,2,,2,2,1,5,2,2,1,2,2,1,1,2,1,,,1,1,1,2,1,2,2,2,2,2,1,,,2,2,3,4,1,1,,,,2,2,2,2,2,2,2,2,2,,,,1,1,2,1,1,2,2,1,1,1,2,2,2,1,3,1,,4,3,1,1,1,1,2,1,1,,,1,1,2,4,1,3,3,4,4,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,2445.580158
953,2012,4,5,1,5,1,2,1,1,6,1,7,5,0,1,2,1,1,2,1,1,,,2,3,3,1,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,1,,,,,,2,2,2,2,2,2,1,1,3,3,,5,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,3770.868333
954,2012,4,2,1,3,1,1,3,4,5,1,7,6,5,1,2,,1,,,,,,2,2,1,1,6,2,2,1,2,2,1,3,1,2,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,,2,1,2,2,2,1,1,9998,,2,2,2,1,2,2,2,2,2,2,2,2,3,2,3,3,,4,4,1,1,1,1,1,1,1,2,,1,4,5,2,1,1,3,2,4,2,1,1,0,1,0,0,0,1,1,2,2,1,1,2,2,,,,,,3781.824176
955,2012,6,2,1,2,5,1,3,2,5,1,2,1,1,1,3,1,1,2,2,2,,,1,2,2,1,1,3,2,1,2,2,1,1,2,2,1,1,"שימוש בחו""ל",2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,2,2,2,2,2,2,,3,1,3,2,1,2,3,2,2,2,2,2,2,3,1,3,1,,1,3,2,1,1,1,1,1,1,2,,1,4,2,4,1,2,4,5,4,5,0,0,0,1,0,1,0,1,2,1,1,1,2,1,2,,,1,4,,4375.202293
956,2012,4,4,2,2,5,1,3,1,4,2,98,,10,2,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,,5,4,3,5,2,1,3,1,1,1,,5,5,5,5,5,5,5,5,5,,0,0,0,0,0,0,1,2,1,1,1,2,2,1,2,2,,,,,3763.425169
957,2012,4,2,2,9,3,1,3,1,4,1,5,6,3,1,2,,,,,1,,,2,4,4,1,1,2,,,,,,,,1,,,,2,2,,2,1,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,1,1,,,,,,2,2,2,2,2,2,3,3,3,3,,5,4,1,1,1,1,1,1,1,,,2,1,2,,,2,3,4,3,3,1,0,0,0,0,0,0,,,,,,,,,,,,,,2944.655791
958,2012,4,5,1,1,5,1,3,1,4,3,9,,10,1,4,2,2,2,1,2,,,2,2,1,1,3,2,2,2,2,2,1,1,1,1,1,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1020,,4,1,1,1,1,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,2936.709488
959,2012,5,3,2,3,1,1,3,1,6,1,10,8,0,1,1,,,,,,,,1,1,1,1,2,3,2,1,2,2,1,1,1,2,1,,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,2,2,2,2,,2,2,1,1,1,1,2,2,2,1,2,1,2,3,3,1,1,,5,4,1,1,1,1,1,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,3579.058901
960,2012,5,4,2,1,1,1,3,2,3,3,8,,10,1,3,1,2,2,1,1,,,2,5,5,1,2,1,,,,,,,,,,,,,2,,2,1,2,1,2,2,2,2,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,,,,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,5,4,1,1,1,1,1,1,1,2,,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,4606.280788
961,2012,6,4,2,6,1,1,3,1,6,1,7,6,6,1,4,1,1,,,,,,1,2,,,2,1,,,,,,,,,,,,,1,1,2,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2,,1,,1,1,1,2,2,2,2,2,2,3,1,3,3,1020,3,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,4632.953157
962,2012,6,5,1,1,5,1,3,1,3,3,6,,10,1,2,1,1,1,1,1,,,1,,5,1,3,2,,,,,1,,,,,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,5,4,1,1,1,1,1,1,1,,,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,,,,,,3390.296277
963,2012,4,5,1,8,1,1,3,1,4,1,10,9,4,1,2,1,1,,1,,,,1,1,1,1,2,3,,1,1,,1,1,1,,,,,2,2,,2,1,,,,,,,,,1,,,,,,,,,,1,,,,1,,,1,,,1,1,1,1,1,,,2,2,2,2,2,2,1,1,1,1,1024,2,2,2,2,2,2,2,2,2,,,1,4,1,4,1,1,1,4,4,1,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,,,,,1,3604.03115
964,2012,1,5,2,4,1,1,3,1,6,1,10,5,3,1,2,1,1,1,1,1,,,2,3,1,1,1,2,2,1,1,2,1,2,1,2,1,,,2,1,2,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,1,1,2,2,1,1,,,1,1,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,1200,5,4,3,3,3,3,2,2,2,,,1,1,1,4,1,2,2,3,3,2,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,,,1,5,2,3639.683814
965,2012,2,3,1,2,1,2,1,4,6,1,9,8,3,1,2,1,1,1,1,2,,,1,3,3,1,1,3,1,1,1,2,1,2,1,2,1,,,1,2,,1,,,,,,,,,,1,,,,,,,,,,2,1,1,1,2,2,2,2,2,,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1020,1,2,5,5,4,1,2,3,2,,,2,3,2,2,3,4,2,3,3,3,1,0,0,0,1,0,0,1,1,1,2,2,2,2,2,,,1,3,2,1547.885448
966,2012,4,2,1,9,1,1,3,1,6,1,10,10,0,1,4,1,1,1,1,2,1,פקס,1,4,1,1,2,5,1,1,2,2,1,1,2,2,2,,,2,1,1,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,2,1,1,1,2,1,1,1,2,,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,,1,1,5,5,3,1,4,3,2,,,3,4,2,1,3,4,2,1,3,1,0,1,0,1,0,0,0,1,1,3,2,1,1,2,1,,,1,1,2,2739.456
967,2012,4,5,1,5,1,1,3,1,6,3,7,,10,1,2,2,1,2,1,2,,,2,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,,2,1,1,2,2,2,2,2,2,2,2,1,בן משפחה,2,1,1,1,1,1,1,1,בן משפחה,2,,1,1,1,2,2,2,2,2,,5,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1020,1,1,2,2,2,2,2,2,2,2,,1,2,2,3,1,1,2,4,3,5,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,,,,2,5715.880478
968,2012,6,3,1,9,1,1,3,2,6,1,10,10,4,1,2,,1,,,,,,1,5,3,1,2,4,1,1,1,1,,,,,,1,לשכת סוכני הביטוח,2,2,,2,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,1,מניות,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1020,1,1,5,1,3,5,2,5,2,,,1,3,3,4,1,3,1,1,3,1,0,0,0,0,0,0,1,1,2,2,2,2,2,1,2,,,1,1,2,2730.25668
969,2012,6,5,1,2,1,1,3,1,6,1,7,4,4,1,2,2,2,1,1,2,2,,1,2,1,1,1,2,2,1,2,2,1,2,1,2,1,2,,2,1,1,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,1,2,1,1,2,1,2,2,2,,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1020,1,3,1,1,1,2,1,1,2,2,,1,4,1,4,1,2,3,4,4,1,0,0,0,1,1,0,0,2,1,2,1,2,2,1,2,2,,1,7,2,4286.365052
970,2012,7,5,2,4,1,1,3,1,5,1,8,8,3,1,2,1,1,1,1,,,,2,5,1,1,5,5,,1,2,1,1,1,1,1,1,,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,,,,,,,1,1,1,1,1,1,1,,1,,,,,1,,1,1,,5,1,2,2,2,2,2,2,2,,,1,2,2,2,2,2,2,3,3,2,0,1,0,0,1,1,0,2,1,1,2,1,2,1,2,,,2,,2,3169.731809
971,2012,7,7,2,4,1,1,3,1,5,1,5,3,4,1,3,,1,1,1,1,,,1,5,5,3,1,3,2,1,2,2,1,1,1,2,3,,,1,2,,2,,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,3,3,3,3,,5,3,,,2,,,,2,,,4,2,1,2,1,3,3,4,3,5,1,1,1,0,0,0,0,1,,1,,1,,1,,1,היי רוצה למצוא מקור פרנסה נוסף,1,3,2,3874.563368
972,2012,7,4,1,2,1,1,3,2,6,1,5,4,0,1,3,1,1,1,1,1,,,2,4,3,1,1,3,1,2,2,2,1,2,2,2,2,,,2,1,1,1,,,,,,,,,,2,1,1,3,1,1,1,,,2,,,,,,,1,1,,,5,2,1,2,,1,,2,2,2,2,2,2,2,1,1,1,1020,1,1,3,2,2,3,2,2,2,,,2,3,2,3,2,2,3,3,3,3,1,0,1,1,0,1,0,1,2,1,2,1,1,1,1,,,1,1,2,4149.223442
973,2012,2,1,2,5,5,1,3,3,5,1,1,2,4,1,2,,1,,1,,,,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,,,2,2,,1,,,,,,,,,,2,1,1,1,1,1,3,2,,2,1,,,1,,,,,,,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1500,1,3,2,,2,,,,2,,,1,1,1,4,1,1,2,3,1,1,0,1,0,0,0,0,0,1,,1,,,,1,,,,1,1,3,3692.248752
974,2012,3,5,1,4,1,1,3,1,5,1,8,7,1,2,,,,,,,,,,,,,1,3,1,1,2,2,1,2,2,2,1,,,2,1,4,2,1,2,2,2,1,2,2,,,1,,,,,,,,,,1,1,1,1,1,2,2,2,,,,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,1020,3,2,2,2,1,1,1,1,2,,,2,2,2,3,3,3,3,4,3,4,1,1,0,0,0,0,0,1,1,1,2,1,2,1,2,,,1,1,3,4542.890827
975,2012,3,6,1,7,1,1,3,2,6,1,9,7,0,1,2,1,1,2,2,1,,,2,5,1,3,1,2,1,1,2,2,2,2,2,2,1,,,1,2,,2,2,2,2,1,2,2,1,,,2,1,3,3,3,1,5,,,2,2,1,1,1,2,1,2,2,,,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,1,1024,1,2,2,2,2,1,3,1,2,,,1,2,3,4,3,4,2,2,2,5,0,1,1,0,0,0,0,1,2,1,2,1,2,1,3,1,,1,5,3,4397.02175
976,2012,4,4,1,4,1,1,3,1,6,1,10,10,4,1,2,1,1,1,1,1,,,2,4,1,1,1,3,2,1,1,1,2,1,1,1,1,,,2,1,4,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,2,2,,,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1020,4,3,4,4,2,2,2,2,2,,,1,3,1,2,2,3,3,3,3,3,1,0,1,1,1,1,0,2,2,2,2,2,2,2,2,,,,,3,4373.956309
977,2012,4,1,1,3,5,1,3,2,4,1,6,7,4,1,3,,1,1,,1,,,2,2,1,1,1,2,2,1,1,2,1,1,1,2,1,,,2,2,,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,1,2,2,1,2,2,2,2,,,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,3,2,,5,4,3,4,4,1,1,2,2,,,1,3,1,4,2,2,3,3,3,4,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,,,1,3,3,3618.776712
978,2012,5,1,2,3,5,1,3,4,6,1,8,9,1,1,3,1,1,2,1,2,,,2,1,1,1,1,2,2,1,2,2,1,1,2,2,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,2,1,2,1,2,2,1,2,,,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1020,1,1,5,5,5,1,2,2,2,,,1,4,1,4,2,2,1,3,4,1,0,0,0,0,1,1,0,1,1,1,2,1,1,2,2,,,1,1,3,3569.012008
979,2012,6,7,1,1,5,1,3,2,4,3,98,,10,1,2,1,2,1,1,2,2,,3,2,3,1,3,2,2,2,2,2,1,2,1,2,1,2,,2,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,,5,4,2,2,2,2,2,2,2,2,,2,2,5,3,5,5,1,5,4,5,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,,,,3,3922.242641
980,2012,7,7,1,5,1,1,3,1,5,1,8,9,1,1,2,1,1,1,,1,,,2,4,3,1,1,3,1,1,1,1,1,1,1,1,1,,,2,1,1,2,1,2,2,2,1,2,2,,,1,,,,,,,,,,1,1,1,1,2,1,2,2,,,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1020,2,3,2,2,2,1,1,1,2,,,1,3,1,2,1,3,3,3,3,2,1,1,0,1,0,0,0,1,1,1,2,2,2,1,2,,,1,7,3,4009.679832
981,2012,7,6,1,2,1,1,3,1,6,3,3,,10,1,2,1,,1,1,,,,2,1,1,1,1,3,2,1,2,2,1,,,,1,,,2,1,4,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,2,2,2,2,2,2,3,1,3,3,1020,1,3,2,1,2,1,,,2,,,1,4,1,4,1,2,2,5,3,5,0,0,0,0,0,1,0,1,2,1,2,,3,1,2,,,1,3,3,7683.017024
982,2012,1,1,1,1,5,1,3,5,4,3,1,,10,1,3,1,1,2,1,2,2,,2,1,1,1,7,2,2,1,2,2,2,2,1,2,1,,,2,2,,1,,,,,,,,,,2,1,1,1,1,1,3,2,,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1200,5,1,3,2,3,2,2,2,2,,,1,2,1,4,1,2,4,2,3,5,1,1,1,1,1,0,0,1,1,1,2,1,2,1,1,,,1,1,4,5274.858671
983,2012,1,3,1,2,1,1,3,2,6,1,5,4,3,1,2,1,1,1,1,2,,,1,3,1,1,2,2,1,1,1,2,1,3,1,2,2,1,"שימוש בחו""ל",2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,1,2,1,3,2,,,2,4,4,1,1,2,1,2,2,2,2,2,2,3,3,3,3,1020,1,2,3,3,2,2,2,2,2,,,2,3,2,3,2,3,2,2,2,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,,1,1,4,3834.886995
984,2012,1,2,1,5,3,1,3,1,5,1,7,7,0,1,4,,,,1,,,,2,3,1,2,3,2,,1,,,1,,,,,,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,,3,1,3,3,1020,1,4,1,1,2,1,1,2,2,,,2,3,1,2,2,2,3,3,2,3,0,0,0,0,0,0,1,1,1,1,2,1,1,1,2,,,1,5,4,4360.18104
985,2012,1,7,1,2,5,1,2,1,6,1,9,9,0,1,4,,1,,,,,,2,1,1,1,3,2,2,2,1,2,1,3,2,2,2,2,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,3,3,2,3,2,,1,1,2,2,1,2,2,2,2,2,2,2,2,3,1,1,1,1020,1,4,2,2,2,2,2,2,2,,,2,4,2,4,2,3,3,3,4,3,0,0,0,1,0,0,0,1,2,1,2,1,2,2,2,,,1,1,4,2319.874602
986,2012,2,3,1,2,5,1,3,1,4,1,10,8,4,1,2,1,1,1,2,1,,,2,3,3,1,1,1,,,,,,,,,,,,,2,,2,2,2,2,2,2,2,1,,,1,,,,,,,,,,1,1,2,1,1,2,2,2,2,,1,1,2,2,1,2,2,2,1,2,1,1,1,2,1,3,2,1020,3,4,1,1,2,1,1,1,2,,,1,4,1,4,3,3,2,2,4,3,0,0,1,1,0,1,0,2,2,1,2,2,2,2,1,1,,1,8,4,3748.909493
